category,name,sport,title,url
Women,Shannon Briggs,Women's Golf ,Head Coach,https://towsontigers.com/sports/womens-golf/roster/coaches/shannon-briggs/2894
Men,Miles Miller,Baseball ,Interim Head Coach,https://towsontigers.com/sports/baseball/roster/coaches/miles-miller/2915
Men,Tanner Biagini,Baseball ,Assistant Coach,https://towsontigers.com/sports/baseball/roster/coaches/tanner-biagini/2916
Men,Danny Pulfer,Baseball ,Assistant Coach,https://towsontigers.com/sports/baseball/roster/coaches/danny-pulfer/2924
Men,Trey Martinez,Baseball ,Volunteer Assistant Coach,https://towsontigers.com/sports/baseball/roster/coaches/trey-martinez/2932
Men,Eric Franc,Baseball ,Director of Player Development,https://towsontigers.com/sports/baseball/roster/coaches/eric-franc/2918
Men,Zach Piazza,Baseball ,Director of Baseball Operations,https://towsontigers.com/sports/baseball/roster/coaches/zach-piazza/2923
Men,Emma Toth,Baseball ,Student Manager,https://towsontigers.com/sports/baseball/roster/coaches/emma-toth/2920
Men,Isabelle Pardew,Baseball ,Director of Baseball Analytics,https://towsontigers.com/sports/baseball/roster/coaches/isabelle-pardew/2919
Men,Courtney Levy,Baseball ,Student Manager,https://towsontigers.com/sports/baseball/roster/coaches/courtney-levy/2933
Men,Ben Lacombe,Baseball ,Student Manager,https://towsontigers.com/sports/baseball/roster/coaches/ben-lacombe/2934
Men,Noah Weiss,Baseball ,Student Manager,https://towsontigers.com/sports/baseball/roster/coaches/noah-weiss/2935
Men,Matt Tyner,Baseball ,Head Coach (temporary leave),https://towsontigers.com/sports/baseball/roster/coaches/matt-tyner/2914
Women,Sonia LaMonica,Women's Lacrosse ,Head Coach,https://towsontigers.com/sports/womens-lacrosse/roster/coaches/sonia-lamonica/2844
Women,Shanna Brady,Women's Lacrosse ,Assistant Coach,https://towsontigers.com/sports/womens-lacrosse/roster/coaches/shanna-brady/2853
Women,Michael LaMonica,Women's Lacrosse ,Assistant Coach,https://towsontigers.com/sports/womens-lacrosse/roster/coaches/michael-lamonica/2845
Women,Emily Gillingham,Women's Lacrosse ,Graduate Manager,https://towsontigers.com/sports/womens-lacrosse/roster/coaches/emily-gillingham/2848
Women,Jay Ramirez,Women's Gymnastics ,Head Coach,https://towsontigers.com/sports/womens-gymnastics/roster/coaches/jay-ramirez/2901
Women,Ashley Sauer,Women's Gymnastics ,Assistant Gymnastics Coach ,https://towsontigers.com/sports/womens-gymnastics/roster/coaches/ashley-sauer/2913
Women,Kristen Presutti Callihan,Women's Gymnastics ,Volunteer  Assistant Gymnastics Coach,https://towsontigers.com/sports/womens-gymnastics/roster/coaches/kristen-presutti-callihan/2925
Women,Don  Metil,Women's Volleyball ,Head Coach,https://towsontigers.com/sports/womens-volleyball/roster/coaches/don-metil/2974
Women,Terry Hutchinson,Women's Volleyball ,Assistant Coach,https://towsontigers.com/sports/womens-volleyball/roster/coaches/terry-hutchinson/2975
Women,Megan Shifflett Bachmann,Women's Volleyball ,Assistant Coach,https://towsontigers.com/sports/womens-volleyball/roster/coaches/megan-shifflett-bachmann/2976
Women,Jamie Peterson,Women's Tennis ,Head Coach,https://towsontigers.com/sports/womens-tennis/roster/coaches/jamie-peterson/2841
Women,Debbie Holtschneider,Women's Tennis ,Assistant Coach,https://towsontigers.com/sports/womens-tennis/roster/coaches/debbie-holtschneider/2843
Women,Greg Selby,Women's Tennis ,Volunteer Assistant,https://towsontigers.com/sports/womens-tennis/roster/coaches/greg-selby/2842
Women,Mike Jackson,Women's Track and Field ,Head Coach ,https://towsontigers.com/sports/womens-track-and-field/roster/coaches/mike-jackson/2897
Women,Zac Ball,Women's Track and Field ,Assistant Coach,https://towsontigers.com/sports/womens-track-and-field/roster/coaches/zac-ball/2900
Women,Gabriella Gaudreault,Women's Track and Field ,Assistant Track Coach,https://towsontigers.com/sports/womens-track-and-field/roster/coaches/gabriella-gaudreault/2930
Women,Matt Arbaugh,Women's Track and Field ,Volunteer Coach,https://towsontigers.com/sports/womens-track-and-field/roster/coaches/matt-arbaugh/2896
Women,Mike Jackson,Women's Indoor Track ,Head Coach ,https://towsontigers.com/sports/womens-indoor-track/roster/coaches/mike-jackson/2868
Women,Zac Ball,Women's Indoor Track ,Assistant Coach,https://towsontigers.com/sports/womens-indoor-track/roster/coaches/zac-ball/2871
Women,Gabriella Gaudreault,Women's Indoor Track ,Assistant Track Coach,https://towsontigers.com/sports/womens-indoor-track/roster/coaches/gabriella-gaudreault/2929
Women,Matt Arbaugh,Women's Indoor Track ,Volunteer Assistant,https://towsontigers.com/sports/womens-indoor-track/roster/coaches/matt-arbaugh/2870
Women,Jake Shrum,Women's Swimming and Diving ,Head Coach,https://towsontigers.com/sports/womens-swimming-and-diving/roster/coaches/jake-shrum/2859
Women,Ben Herboth,Women's Swimming and Diving ,Diving Coach,https://towsontigers.com/sports/womens-swimming-and-diving/roster/coaches/ben-herboth/2878
Women,Matt Lowe,Women's Swimming and Diving ,Assistant Coach,https://towsontigers.com/sports/womens-swimming-and-diving/roster/coaches/matt-lowe/2860
Women,Ivan Rodriguez,Women's Swimming and Diving ,Volunteer Coach,https://towsontigers.com/sports/womens-swimming-and-diving/roster/coaches/ivan-rodriguez/2862
Women,Lisa Costello,Softball ,Head Coach,https://towsontigers.com/sports/softball/roster/coaches/lisa-costello/2872
Women,Jessie Hutchens,Softball ,Assistant Coach,https://towsontigers.com/sports/softball/roster/coaches/jessie-hutchens/2873
Women,Casey Dickson,Softball ,Assistant Coach,https://towsontigers.com/sports/softball/roster/coaches/casey-dickson/2882
Women,Marissa Spears,Softball ,Director of Operations,https://towsontigers.com/sports/softball/roster/coaches/marissa-spears/2875
Women,Chris Downs,Softball ,Assistant Director of Operations,https://towsontigers.com/sports/softball/roster/coaches/chris-downs/2876
Women,Michele Hawkins-McHenry ,Softball ,Volunteer Assistant Coach,https://towsontigers.com/sports/softball/roster/coaches/michele-hawkins-mchenry/2931
Women,E.A. Jackson,Field Hockey ,Head Coach ,https://towsontigers.com/sports/field-hockey/roster/coaches/e-a-jackson/2951
Women,Mike Jackson,Women's Cross Country ,Head Coach ,https://towsontigers.com/sports/womens-cross-country/roster/coaches/mike-jackson/2954
Women,Jason Mulder,Field Hockey ,Assistant Coach,https://towsontigers.com/sports/field-hockey/roster/coaches/jason-mulder/2952
Women,Katie McNeel,Field Hockey ,Director of Operations,https://towsontigers.com/sports/field-hockey/roster/coaches/katie-mcneel/2953
Women,Gabriella Gaudreault,Women's Cross Country ,Assistant Coach,https://towsontigers.com/sports/womens-cross-country/roster/coaches/gabriella-gaudreault/2964
Women,Abby Gauthier,Women's Cross Country ,Volunteer Assistant,https://towsontigers.com/sports/womens-cross-country/roster/coaches/abby-gauthier/2956
Women,Diane Richardson,Women's Basketball ,Head Coach,https://towsontigers.com/sports/womens-basketball/roster/coaches/diane-richardson/2966
Women,Zach Kancher,Women's Basketball ,Associate Head Coach and Recruiting Coordinator,https://towsontigers.com/sports/womens-basketball/roster/coaches/zach-kancher/2967
Women,E.C. Hill,Women's Basketball ,Assistant Coach,https://towsontigers.com/sports/womens-basketball/roster/coaches/e-c-hill/2969
Women,Cheyenne Curley,Women's Basketball ,Assistant Coach,https://towsontigers.com/sports/womens-basketball/roster/coaches/cheyenne-curley/2965
